item_id,seller_id,number_sold,number_available,item_positive_feedback_percentage,reviews_num
176667241546,1,0,1,,0
315447342001,2,0,4,,0
315431242700,2,20,4,100.0,6
315431242704,2,15,2,100.0,4
315431242732,2,23,23,100.0,3
315431242811,2,18,40,75.0,4
315431242665,2,5,40,,0
315431242838,2,3,12,100.0,2
235813500650,3,0,1,,0
235815150055,4,0,2,,0
186737693115,5,0,1,,0
196789738058,6,0,1,,0
276711490019,7,0,1,,0
276711393017,7,0,1,,0
123933892748,8,42,1,100.0,2
114141219453,8,135,3,85.71428571428571,7
123879271898,8,125,2,100.0,1
115322469956,8,238,2,100.0,25
123437687481,8,52,1,100.0,1
267050202012,9,0,1,,0
286144771162,10,0,1,,0
286144763251,10,0,3,,0
276715002381,11,0,1,,0
276717264218,11,0,1,,0
235820549880,12,0,1,,0
395818670281,13,1,4,100.0,1
176668932146,14,0,1,,0
156397172176,15,10,3,100.0,1
305790025467,16,0,1,,0
305890766925,16,0,1,,0
365190167800,17,0,1,,0
315931190960,18,0,3,,0
405304973589,19,0,1,,0
405219054236,19,0,1,,0
204621854893,20,13,8,100.0,2
204727573704,20,28,6,100.0,3
305580102852,21,81,1,100.0,19
315911089455,22,0,1,,0
315904254787,22,0,1,,0
267054867860,23,0,1,,0
167019524601,24,0,1,,0
167046923605,24,1,1,,0
167060672514,24,0,1,,0
166957441492,24,0,1,,0
226431370616,25,0,1,,0
356080314910,26,3,1,,0
356080289854,26,0,1,,0
296765484710,27,0,1,,0
356195128363,28,0,1,,0
134934166853,29,0,1,,0
167073508320,30,0,1,,0
395354328876,31,0,30,,0
256671914228,32,0,1,,0
266980436623,32,0,1,,0
126660984415,33,0,1,,0
285992928445,34,0,1,,0
195888673330,35,0,1,,0
326129468014,35,0,1,,0
225967713671,36,0,5,,0
387559552378,37,0,1,,0
135351644784,38,0,1,,0
126579219076,39,4,6,,0
116237908965,39,11,1,100.0,3
126579209303,39,6,4,100.0,2
116237948626,39,3,7,,0
126579230294,39,0,4,,0
405222588122,40,0,1,,0
305846091957,41,0,1,,0
335618631677,42,0,1,,0
196089511704,43,4,43,33.33333333333333,3
276293136193,44,0,1,,0
276567449576,44,0,1,,0
395471344783,45,1,1,,0
356075928620,46,0,1,,0
315877882383,47,0,1,,0
175592039956,48,1,1,,0
